German,English
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,i
entschuldige,Excuse me
ziehen,pull
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,our
suche,search
zwar,though
groß,large
hol,hol
buch,book
krank,ill
fühle,feel
jedes,each
verstehst,understand
wert,value
arzt,doctor
froh,glad
versuche,tries
straße,Street
rufen,call
heiraten,marry
super,great
sam,sam
lebt,lives
gutes,good
lasse,leave
onkel,uncle
total,total
gebracht,brought
party,party
erklären,to explain
spielt,plays
wahl,choice
vertrauen,trust
damals,back then
tagen,meet
leicht,light
nachdem,after this
gegangen,went
gefühl,feeling
kaufen,to buy
geschafft,made
typen,types
interessiert,Interested
möchten,want
halte,think
hält,keeps
glaub,think
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,took
zukunft,future
weniger,Less
cool,cool
licht,light
getroffen,met
himmel,sky
nachricht,message
drüben,over there
passt,fit
sagten,said
kümmern,To take care of
laut,according to
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,Victim
körper,body
solche,such
mist,damn
mr,mr
findet,finds
schreiben,write
böse,evil
gesprochen,spoken
versuch,attempt
vorstellen,to introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,flat
weh,sore
heißen,be called
krankenhaus,hospital
bringe,bring
höre,hear
millionen,millions
klasse,class
hart,hard
worden,been
sinn,sense
außerdem,also
verletzt,injured
ändern,to change
erfahren,Experienced
tragen,carry
wenigstens,at least
vorsichtig,carefully
daddy,daddy
stolz,proud
stark,strongly
fällt,falls
möchtest,want
leuten,people
besonders,especially
schöne,lovely
schicken,send
person,person
schätze,wealth
solange,as long as
länger,longer
großartig,Great
lacht,laughs
anrufen,call
stand,was standing
redest,talking about
fühlen,feel
erwartet,expected
boden,ground
boss,boss
stimme,voice
glaubt,believes
still,quiet
sicherheit,safety
setz,translated
ma,ma
mund,mouth
kämpfen,fight
wisst,know
lachen,laugh
hörst,hear
zeug,stuff
lustig,funny
umbringen,kill
sollst,shalt
hasse,hate
schlimm,bad
o,O
unglaublich,incredible
wärst,'d
laden,load
führen,to lead
gestorben,died
schauen,watch
meinung,opinion
lesen,read
mörder,killer
frank,frank
ähm,um
geschehen,done
geschäft,business
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,York
vorher,previously
schluss,Enough
schneller,more quickly
liebt,loves
verdient,earned
mögen,to like
meisten,most
denk,thinking
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,behind
monate,months
erinnere,remember
acht,eight
arbeitet,is working
fallen,fall
rufe,call
nötig,necessary
a,a
mord,murder
heraus,out
tages,day
unmöglich,impossible
liebling,Darling
charlie,charlie
tatsächlich,indeed
folgen,consequences
bitten,ask
behalten,to keep
nähe,neighborhood
arbeite,working
joe,joe
verdammte,damned
plötzlich,suddenly
lebens,life
hole,get
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefährlich,dangerous
anfangen,to begin
bekommt,gets
machte,made
ha,Ha
hotel,hotel
hilft,help
werdet,will
meister,master
kampf,struggle
antwort,answer
konnten,could
geschickt,cleverly
jedem,each
obwohl,even though
sieben,seven
komisch,funny
gewinnen,win
ihres,their
bezahlt,paid
you,you
voller,full of
unterwegs,on road
dumm,stupid
ärger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,on the other hand
seien,are
starb,died
tom,tom
monaten,months
leiche,corpse
niemanden,anyone
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pulling
nimmt,takes
gerettet,rescued
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,to catch
fort,on
ständig,constantly
findest,find
gefahr,danger
absolut,absolutely
mary,mary
augenblick,moment
bescheid,decision
rum,rum
gedanken,thoughts
werd,expectant
ziel,target
benutzt,used
bewegung,Move
jemandem,somebody
wünschte,wish
worte,worte
kamen,came
welcher,which one
zahlen,numbers
anfang,Beginning
legen,lay
erinnerst,remember
anwalt,lawyer
fahr,driving
sitzt,seated
hilf,help
offen,open
schönen,beautiful
monsieur,monsieur
müsste,should
arme,poor
bier,beer
fürs,for
partner,partner
klein,small
david,David
klappe,flap
süß,sweet
herum,around
finger,finger
ehe,marriage
rolle,role
ließ,was
gleiche,same
monat,month
hochzeit,wedding
max,Max
führt,leads
paris,Paris
wach,awake
wozu,what for
arm,poor
geschrieben,written
chef,boss
benutzen,to use
informationen,information
erledigt,done
hoffentlich,hopefully
müsst,need
fühlt,feels
tanzen,to dance
ansehen,look at
darfst,allowed to
zuhause,At home
wunderbar,wonderful
hältst,hold
reise,travel
gewonnen,won
dame,lady
irgendwann,Sometime
chffffff,chffffff
alex,Alex
steckt,plugged
jedenfalls,in any case
schreit,screams
tolle,amazing
rüber,over
tschüss,bye
nennt,is called
raum,room
heiß,hot
foto,photo
kalt,cold
paul,paul
irgendetwas,anything
weile,while
bisher,so far
minute,minute
unbedingt,necessarily
zug,train
sekunden,seconds
wofür,for what
erzähl,tell
nen,nen
beweise,proofs
nahm,took
aller,all
freut,pleased
seele,soul
schießen,shoot
müde,tired
dauert,lasts
magst,like
harry,harry
brief,letter
gelernt,learned
sucht,investigated
bekannt,known
weitere,Further
unfall,accident
dahin,then
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,heart
schlagen,beat
wütend,angry
weise,wise
damen,Ladies
darin,in this
gottes,god
holt,get
fehlt,is missing
vorsicht,Attention
heiße,name is
beweisen,to prove
gehabt,had
zumindest,at least
vermisst,missing
hübsch,pretty
kriegt,gets
verbindung,connection
tief,deep
richtung,direction
lage,location
sowieso,anyway
kraft,force
normal,normal
lauf,run
ehre,honor
stell,Vice
geschenk,gift
bar,bar
tasche,bag
gelesen,read
gekauft,Bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lügen,lying
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,stand
nächstes,next
gearbeitet,worked
preis,price
witz,joke
meinte,said
liste,list
geist,ghost
neben,Next
gesucht,searched
firma,company
süße,sweet
rücken,move
schrecklich,dreadful
letzter,last
verliebt,in love
öffnen,to open
redet,talks
boot,boat
seltsam,strange
versteckt,hidden
fürchte,fear
verschwinde,disappear
erwischt,Caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,angry
vermutlich,presumably
näher,closer
major,major
jung,young
majestät,majesty
aussehen,look
ans,ans
de,de
and,and
links,Left
großes,great
welches,which
beschützen,to protect
geboren,born
erreichen,to reach
punkt,Point
kindern,children
kirche,church
verraten,betray
selber,himself
befehl,command
colonel,colonel
fährt,moves
zieht,attracts
geburtstag,birthday
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,ride
schwöre,swear
geredet,spake
james,james
madame,madame
eigene,own
zeiten,times
traurig,Sad
anruf,Call
nachrichten,news
frieden,peace
karte,map
güte,quality
euren,your
diesmal,this time
schade,a pity
persönlich,personally
kriege,wars
stirbt,dies
bleibe,stay
verändert,changed
sonne,Sun
lieb,dear
nämlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,dish
nase,nose
ewig,forever
singen,to sing
bank,Bank
beschäftigt,employed
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,obviously
naja,well
henry,henry
gefühle,emotions
fuß,foot
show,show
überraschung,surprise
geheimnis,secret
fbi,fbi
kontakt,Contact
gold,gold
drogen,drugs
regierung,government
wein,Wine
kriegst,get
ermordet,murdered
fotos,photos
entfernt,away
geschlafen,slept
manche,some
erledigen,take care of
ran,ran
gegenüber,across from
schlaf,sleep
lust,lust
wunderschön,beautiful
witzig,funny
nick,nick
zerstört,destroyed
übrigens,by the way
willen,sake
heim,home
richtigen,right
deines,yours
namens,called
zeigt,shows
geliebt,loved
gehören,belong
brachte,brought
herrn,Mr
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,reply
präsident,president
sagtest,told
hoffnung,hope
stecken,stick
lebe,live
rechts,right
interessant,Interesting
entscheiden,decide
miteinander,together
meint,means
liebst,love
indem,by doing
bleibst,stay
kümmere,take care
wohnen,live
weder,neither
möglichkeit,possibility
kaputt,broken
bekomme,get
flugzeug,plane
vergangenheit,past
anderer,another
zweite,second
armee,army
jim,jim
tee,tea
entweder,either
weiss,White
don,Don
detective,detective
aufhalten,stop
stellt,provides
verspreche,promise
überrascht,surprised
sauber,clean
hau,hau
mark,mark
schlag,blow
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,question
vaters,father
nervös,nervous
gesellschaft,society
verstecken,hide
schuldig,guilty
hals,neck
schützen,protect
besuchen,visit
of,of
passen,fit
überleben,to survive
erhalten,receive
teilen,divide
gebäude,building
schicksal,fate
zeichen,character
richter,judge
besorgt,concerned
küche,kitchen
lief,ran
vergnügen,pleasure
wüsste,know
volk,people
lhr,LHR
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,to celebrate
situation,situation
lag,was
gelassen,calmly
allerdings,Indeed
soweit,so far
gefahren,hazards
verstand,understanding
bord,shelf
schönes,beautiful
jimmy,Jimmy
billy,billy
angefangen,started
lee,lee
fühlst,feel
bob,bob
mussten,had
rat,advice
worauf,whereupon
gebeten,asked
tony,tony
kamera,camera
achtung,Danger
lieutenant,lieutenant
ganzes,whole
schuhe,Shoes
sarah,sarah
glückwunsch,congratulation
niemandem,no one
gibst,give
statt,instead of
übernehmen,take
gegend,area
wald,Forest
al,al
la,la
nimmst,take
danny,danny
erkennen,detect
glas,Glass
falsche,false
verantwortlich,responsible
jesus,Jesus
stöhnt,moans
herein,in
kleid,dress
zerstören,to destroy
jawohl,Yes sir
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,peep
nahe,Near
aussieht,looks
beginnen,begin
dachten,thought
band,tape
ungefähr,approximately
aufgabe,task
neun,nine
furchtbar,awful
drinnen,indoors
zuvor,before
charles,charles
freue,look
amerika,America
übrig,left
spur,track
falschen,false
sergeant,sergeant
melden,Report
helfe,help
werfen,throw
bill,bill
haltet,think
erinnert,remind
hängt,hangs
freude,joy
ehemann,husband
erschossen,shot
verzeihen,forgive
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damned
brauch,custom
gewusst,know
vorne,ahead
stopp,stop
übel,evil
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,Per
leisten,Afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take
gespielt,played
to,to
schwierigkeiten,trouble
hälfte,half
kannte,knew
stehe,am
maria,Maria
planeten,planet
schwanger,pregnant
gruppe,group
anna,Ann
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
händen,hands
versteht,understood
drehen,rotate
eis,ice
danken,to thank
erfolg,success
zufrieden,satisfied
schließen,shut down
besorgen,to get
wochenende,weekend
worüber,about what
stimmen,be right
nehmt,take
martin,martin
m,m
witze,joking
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,yours
prinzessin,princess
schmerz,pain
klingelt,rings
