French,English
surprise,surprise
croyez,believe
devais,had
ligne,line
porter,carry
imagine,conceived
colère,anger
clair,clear
seront,will
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,magnificent
risque,risk
terminé,completed
su,knew
heureuse,happy
mission,mission
jolie,pretty one
parlez,speak
présent,present
sorti,got out
cadeau,gift
expliquer,explain
volé,Fly
plusieurs,many
gauche,left
ferait,would do
neuf,new
passe-t-il,going there
ouvre,opens
disais,said
dedans,in
disent,say
pouvons,can
allez-y,Go for it
suivre,to follow
pourra,will
inspecteur,inspector
réponse,reply
lumière,light
pieds,feet
pote,mate
montre,watch
pied,foot
marcher,walk
charlie,charlie
auras,get
envoyer,to send
vraie,real
espèce,species
doivent,have to
allô,Hello
pareil,the same
vas-tu,are you
soleil,Sun
camp,camp
fallait,needed
coin,corner
ignore,unknown
moitié,half
you,you
selon,according to
tenir,hold
grosse,big
vouloir,want to
michael,michael
vieille,old
devenu,become
continuer,Continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,slowly
joli,pretty
avance,advanced
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,to pose
chaud,hot
aimé,love
david,david
fais-tu,do you
tom,tom
professeur,professor
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,know
lettre,letter
forme,form
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,crazy woman
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,goal
froid,cold
allez-vous,will you
prêts,loans
tranquille,quiet
gamin,kid
joe,joe
classe,classroom
joué,play
poste,post
con,cunt
mike,mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,living
ciel,sky
lu,read
touche,touch
aimer,like
faites-vous,are you
télé,TV
met,puts
écouter,listen
serez,will
ll,It
pourtant,However
change,exchange
triste,sad
droite,right
gueule,mouth
tombe,falls
sentir,feel
ouvrir,to open
travers,through
santé,health
dossier,folder
ie,ie
jeunes,youth
frank,frank
coucher,sleep
cuisine,cooked
monte,mounted
pouvez-vous,can you
signifie,means
entrez,Come in
relation,relationship
centre,center
dame,lady
chacun,each
chanson,song
foutre,fuck
voler,steal
blanc,White
george,george
certain,certain
don,Don
âme,soul
manière,way
flic,cop
décision,decision
mange,eat
vit,lives
compagnie,company
déjeuner,lunch
différent,different
tire,drawn
ordres,orders
clé,key
vaisseau,vessel
secondes,seconds
enfer,hell
sortez,get out
vendre,sell
faisais,doing
responsable,responsible
mecs,guys
nulle,nothing
signe,sign
lieutenant,lieutenant
aille,go
acheté,purchased
étrange,strange
diable,Devil
viennent,are coming
monter,ascend
là-dedans,in there
l,the
capable,able
emmener,bring
écrire,to write
honte,shame
bouche,mouth
préfère,prefer
coupable,guilty
rire,to laugh
payé,paid
soin,care
milieu,middle
appartement,apartment
prochain,next
cerveau,brain
paris,Paris
blague,joke
choisi,selected
époque,time
aurez,will
voie,way
réunion,meeting
connu,known
allée,driveway
intérêt,interest
cheval,horse
combat,fight
silence,silence
coups,shots
existe,exist
ia,ia
retourne,return
tel,Phone
trou,hole
public,public
peter,to fart
oeil,eye
pleine,full
cacher,hide
amoureux,lover
drogue,drug
commandant,commanding officer
garçons,boys
faisons,do
paul,paul
n,not
tient,is holding
est-elle,is she
prise,taking
gouvernement,government
dirai,tell
client,customer
adresse,address
journal,newspaper
contact,contact
dingue,crazy
sent,feels
récupérer,recover
base,based
preuves,evidence
présente,present
peau,skin
servir,to serve
peuple,people
exemple,example
fiche,plug
max,max
promets,promise
lequel,which
blessé,injured
c,vs
société,society
tort,wrong
sept,seven
pourriez,might
savent,know
ouvert,open
héros,hero
menti,lied
mer,Wed
contente,content
quitté,quits
jeter,throw
sauvé,Safe
bière,beer
assis,seated
robe,dress
ecoutez,Listen
devient,bECOMES
félicitations,Congratulations
opération,surgery
prévu,planned
fut,was
tenez,hold
livres,books
répondre,reply
seuls,only
pute,bitch
entrée,Entrance
vol,flight
horrible,horrible
vin,wine
dommage,pity
dites-moi,tell me
auriez,would
colonel,colonel
ramener,bring back
règles,rules
nez,nose
justice,justice
fbi,FBI
découvert,discovered
départ,departure
bruit,noise
secours,help
vérifier,check
enceinte,pregnant
mise,setting
témoin,witness
dirais,say
directeur,director
intéressant,interesting
excuse,excuse
environ,about
inutile,useless
terrible,terrible
danse,dance
position,position
humain,human
apparemment,apparently
avenir,to come up
rêves,dreams
œil,eye
bête,stupid
sérieusement,seriously
bravo,well done
approche,approach
nourriture,food
fric,money
plupart,mostly
lycée,high school
tas,heap
empêcher,avoid
longue,long
sexe,sex
niveau,level
banque,bank
éviter,to avoid
étions,were
lune,Moon
pitié,pity
liberté,freedom
expérience,experience
procès,trial
radio,radio
hum,hum
verra,will
thé,tea
partez,leave
utilisé,in use
mur,Wall
pose,pose
revenu,returned
deuxième,second
bande,bandaged
asseyez-vous,sit down
certaines,some
ridicule,ridiculous
nord,North
appelez,call
copine,girlfriend
baiser,kiss
anglais,English
henry,henry
toilettes,restrooms
portes,doors
faudra,will
occupé,busy
grands,great
and,and
dérange,disturbs
rôle,role
censé,supposed
savez-vous,do you know
james,james
reine,Queen
croit,believes
cour,court
église,church
vide,empty
obtenir,get
conneries,bullshit
ennuis,trouble
personnel,staff
conduire,drive
tombé,falls
sol,ground
code,coded
huit,eight
avions,had
espoir,hope
comprenez,understand
spécial,special
vidéo,video
vêtements,clothing
défense,defense
alex,alex
sud,South
grand-mère,Grandmother
match,match
bombe,bomb
intéresse,interested
zone,zoned
tante,aunt
paraît,seems
excuser,excuse
magasin,store
marier,marry
chère,Dear
aie,Ouch
souvenir,memory
proche,close
revient,come back
danny,danny
douleur,pain
arrivera,to arrive at
presse,hurry
merveilleux,wonderful
asseoir,Sit
ravi,delighted
aimais,liked
amérique,America
fenêtre,window
mien,mine
terrain,ground
sergent,sergeant
peux-tu,can you
projet,project
quartier,district
planète,planet
certainement,certainly
rapide,fast
lorsque,when
assurer,ensure
rendu,made
mignon,cute
tourne,turned
danser,dance
bob,bob
clients,clients
petites,small
aimez,like
présenter,present
importance,importance
venus,Venus
jimmy,jimmy
sache,know
mérite,deserved
machine,machine
derniers,last
programme,program
mesdames,ladies
meilleurs,best
honnête,honest
essayez,try
irai,go
connard,shithead
occasion,opportunity
prouver,to prove
travaillé,work
glace,ice cream
ayez,have
parie,bet
camion,truck
fier,proud
discuter,discuss
village,town
spectacle,show
d',of
nul,no
rose,pink
touché,touch
mangé,eat
vis,screw
parole,speech
rencontre,meet
apprécie,appreciate
réalité,reality
savons,know
respect,respect
remettre,reset
vacances,vacation
détruire,destroy
choisir,to choose
ha,Ha
découvrir,discover
idées,ideas
officier,officer
frères,brothers
sert,serves
bill,bill
solution,solution
informations,news
attendais,expecting
monstre,monster
sexy,sexy
ordinateur,computer
retrouvé,found
nature,nature
rappeler,call back
énergie,energy
pierre,Pierre
utilise,uses
pression,pressure
chaussures,shoes
faite,done
histoires,stories
sarah,sarah
marié,married
espace,space
soient,are
nick,nick
portable,portable
préparer,to prepare
nécessaire,necessary
court,short
offrir,to offer
will,will
ai-je,have I got
tony,tony
envers,towards
bain,bath
charge,charge
mary,mary
harry,harry
jim,jim
ennemi,enemy
arrivent,arrive
immédiatement,at once
finalement,finally
énorme,huge
grand-père,grandfather
test,test
gagne,wins
réfléchir,reflect
victimes,victims
chanter,sing
futur,future
lâche,loose
mademoiselle,miss
copain,boyfriend
enlever,to take off
pensez-vous,do you think
retrouve,finds
épouser,marry
fleurs,flowers
salope,slut
aies,hast
gosse,kid
arranger,arrange
riche,rich
faits,facts
ancien,former
stop,stop
accepter,accept
restes,remains
nouveaux,new
sauter,jump
suspect,suspect
vies,lives
durant,during
invité,guest
politique,Politics
dents,teeth
patient,patient
repas,meal
urgence,emergency
cartes,cards
jambes,legs
conversation,conversation
telle,such
bus,bus
tôt,early
tourner,turn
toucher,to touch
mémoire,memory
série,series
mariée,married
contraire,opposite
vent,wind
taille,cut
donnez-moi,Give me
trouves,found
celui-là,that one
chat,cat
continuez,go on
contrat,contract
couteau,knife
double,double
dure,tough
carrière,career
excuse-moi,excuse me
ray,ray
regardé,looked
descendre,go down
université,university
sentiments,feelings
papier,paper
remarqué,Note
noms,names
vécu,lived
courage,courage
beauté,beauty
bu,drank
tais-toi,Shut up
après-midi,afternoon
excellent,excellent
assieds-toi,Sit down
richard,richard
propres,own
parmi,among
forte,strong
étant,being
couple,couple
aiment,like
permis,allowed
différence,difference
faudrait,should
course,race
humains,humans
dégage,releases
mille,thousand
accès,access
cible,target
joyeux,happy
bonheur,happiness
aimait,loved
manqué,lack
action,action
steve,steve
aidé,help
vouliez,wanted
trouvez,find
films,movies
emmène,takes
marie,married
taxi,Taxi
restaurant,restaurant
crise,crisis
piste,track
dernières,latest
puisque,since
blanche,white
